Name of School,"Elementary, Middle, or High School",Street Address,ZIP Code,Link ,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name,Ward,Police District,probation,Id
Morgan Park High School,HS,1744 W Pryor Ave ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609725.pdf,No,Average,40.0,NDA,NDA,Weak,25.0,Weak,38.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,84.2%,11.1,94.6%,99.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,60,80,52.0,38.2,-1.8,-1.0,Red,Yellow,98.5,64.1,14.7,14.6,15.6,15.9,1.2,17.8,2.2,33.6,80,78.5,1584,49,73.3,75,MORGAN PARK,19,22,0,609725
Edwin G Foreman High School,HS,3235 N LeClaire Ave ,60641,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609708.pdf,No,Weak,26.0,NDA,NDA,Weak,28.0,Weak,23.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,84.3%,10.3,94.8%,99.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,12.7,14.1,13.7,0.7,15.3,1.2,12.5,59.7,40.9,1716,29,75.6,15,PORTAGE PARK,30,16,1,609708
Rudyard Kipling Elementary School,ES,9351 S Lowe Ave ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610027.pdf,No,Average,52.0,NDA,NDA,Average,42.0,Average,42.0,NDA,NDA,NDA,NDA,Average,53,Average,51,94.7%,23.4,96.0%,97.8%,76.2,52.5,49.7,44.4,64.5,58.2,51.6,46.3,57.1,50.3,13.7,31.4,20.9,21.2,-0.6,0.2,Red,Yellow,16,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,445,49,NDA,73,WASHINGTON HEIGHTS,21,22,0,610027
Francis W Parker Elementary Community Academy,ES,6800 S Stewart Ave ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610112.pdf,No,Weak,30.0,NDA,NDA,Average,53.0,Average,57.0,NDA,NDA,NDA,NDA,Average,48,Average,51,91.9%,39.0,94.9%,98.6%,NDA,30.9,25.6,14.2,39.6,55.7,25.3,27.3,60,60,7.7,14.1,8.4,6.5,0.4,0.0,Yellow,Yellow,10.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,808,45,NDA,68,ENGLEWOOD,6,7,0,610112
Ninos Heroes Elementary Academic Center,ES,8344 S Commercial Ave ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609961.pdf,No,Weak,36.0,NDA,NDA,Strong,61.0,Average,55.0,NDA,NDA,NDA,NDA,Average,48,Average,49,93.9%,25.9,95.0%,100.0%,52.5,35.7,33.9,28.1,52.8,62.1,44.2,27.9,66.3,59.5,3.6,16.4,14.7,9.4,0.9,0.5,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,435,47,NDA,46,SOUTH CHICAGO,10,4,1,609961
Scott Joplin Elementary School,ES,7931 S Honore St ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609805.pdf,No,Weak,35.0,Weak,29,Average,44.0,Average,53.0,Average,45,Weak,34,Average,52,Average,50,95.0%,44.5,94.6%,97.7%,NDA,NDA,27.8,27.4,66.9,49.4,33.1,29.6,49.7,61.6,11.8,31.4,9.8,12.2,0.2,0.7,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,538,43,NDA,71,AUBURN GRESHAM,18,6,1,609805
Julia Ward Howe Elementary School of Excellence,ES,720 N Lorel Ave ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610000.pdf,No,Strong,67.0,Average,46,Very Strong,90.0,Strong,69.0,Average,59,Strong,67,Strong,57,Strong,64,96.0%,7.7,97.1%,100.0%,NDA,NDA,36.9,35.6,63.1,75.2,38.5,39.1,67.5,56.4,7.4,14.8,20.6,9.3,0.8,-0.8,Green,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,576,36,NDA,25,AUSTIN,37,15,1,610000
Alexander Hamilton Elementary School,ES,1650 W Cornelia Ave ,60657,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609963.pdf,No,Strong,73.0,Strong,64,Strong,60.0,Average,59.0,Average,59,Average,48,Strong,57,Strong,54,95.3%,12.5,97.4%,97.4%,70.3,47.2,34.4,48.4,56.5,62.9,31.9,46.8,48.9,51.1,14.3,35.7,13.8,21.3,0.6,0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,307,33,NDA,6,LAKE VIEW,32,19,0,609963
Edgebrook Elementary School,ES,6525 N Hiawatha Ave ,60646,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609901.pdf,No,Very Strong,99.0,Very Strong,99,Average,51.0,Average,53.0,Strong,66,Strong,70,Strong,56,Weak,39,96.9%,3.4,96.6%,100.0%,96.3,47.6,88.1,74.1,55.2,75.2,80,79.1,54.5,60,50,71.4,60.2,56.8,0.0,0.5,Yellow,Yellow,83.3,64,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,468,30,NDA,12,FOREST GLEN,41,16,0,609901
High School of Leadership at South Shore,HS,7627 S Constance Ave ,60649,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610297.pdf,No,NDA,,Weak,30,NDA,,NDA,,Very Weak,16,Weak,28,Weak,42,Weak,31,72.0%,43.4,95.2%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.7,11.7,13.1,13.1,1.4,14.4,1.3,12.2,36.6,68.8,731,46,48.8,43,SOUTH SHORE,8,4,1,610297
Stephen T Mather High School,HS,5835 N Lincoln Ave ,60659,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609724.pdf,No,Average,58.0,Average,44,Average,48.0,Average,47.0,Average,50,Average,56,NDA,NDA,NDA,NDA,87.6%,7.6,96.5%,97.9%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.5,14.4,15,15.4,0.9,15.9,0.9,24.6,56.2,57.4,1657,32,59,2,WEST RIDGE,40,20,0,609724
William J & Charles H Mayo Elementary School,ES,249 E 37th St ,60653,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610061.pdf,No,Average,52.0,Average,55,Strong,62.0,Strong,65.0,Average,52,Average,47,Average,50,Strong,55,95.3%,26.0,95.2%,100.0%,48.3,24.1,28.2,25.2,45.9,58,40,36.6,57.4,53.7,10,30,15.5,6.0,0.7,-0.3,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,453,40,NDA,35,DOUGLAS,3,2,0,610061
Langston Hughes Elementary School,ES,240 W 104th St ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610368.pdf,No,Weak,28.0,Average,54,Very Weak,16.0,Weak,30.0,Strong,62,Average,48,Weak,46,Strong,56,90.0%,27.5,95.5%,100.0%,44.7,67,19.3,16.8,46.8,54.5,22.7,18.7,57,43.7,0,9.5,8.2,6.1,0.3,-0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,424,48,NDA,49,ROSELAND,34,5,1,610368
National Teachers Elementary Academy,ES,55 W Cermak Rd ,60616,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610231.pdf,No,Strong,67.0,Strong,70,Strong,65.0,Strong,60.0,Average,59,Average,46,Strong,56,Strong,61,94.7%,9.2,96.3%,100.0%,56.8,36.7,45.6,48.5,62.5,70.4,25.6,42.9,57.8,61.5,10,10,16.5,12.7,0.4,1.1,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,446,40,NDA,33,NEAR SOUTH SIDE,3,1,0,610231
Thomas Hoyne Elementary School,ES,8905 S Crandon Ave ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610002.pdf,No,Strong,67.0,Strong,66,Strong,77.0,Strong,73.0,Strong,67,Strong,66,NDA,NDA,NDA,NDA,94.8%,0.0,95.4%,100.0%,40.2,NDA,36.2,42.7,56.3,61.7,54,65,50,50,14.6,41.5,23.4,14.0,0.7,0.0,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,288,47,NDA,48,CALUMET HEIGHTS,7,4,0,610002
Joseph Stockton Elementary School,ES,4420 N Beacon St ,60640,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610189.pdf,No,Weak,37.0,NDA,NDA,Average,51.0,Strong,68.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.9%,11.0,95.3%,100.0%,53.2,47.2,35.3,28.2,41.2,50,54.7,56.4,51.1,50.5,21.1,44.7,18.3,12.4,-0.5,-0.1,Yellow,Yellow,30.8,75,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,462,32,NDA,3,UPTOWN,46,19,0,610189
Andrew Carnegie Elementary School,ES,1414 E 61st Pl ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609837.pdf,No,Average,48.0,Average,51,Weak,37.0,Strong,63.0,Average,42,Weak,31,Average,49,Average,49,94.6%,6.2,94.4%,100.0%,NDA,NDA,40.2,48.3,40.8,52.3,29.8,44.7,32.6,36.2,18.4,38.8,21.4,20.4,-1.2,0.1,Red,Yellow,48.1,8.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,730,46,NDA,42,WOODLAWN,20,3,1,609837
Ella Flagg Young Elementary School,ES,1434 N Parkside Ave ,60651,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610235.pdf,No,Weak,31.0,NDA,NDA,Average,44.0,Average,50.0,NDA,NDA,NDA,NDA,Weak,44,Average,47,94.3%,3.0,95.4%,100.0%,55.4,29.6,21.3,24.9,44.4,44.3,32.9,28.2,61.5,54.9,11.5,16.1,9.1,8.0,0.1,0.8,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1111,36,NDA,25,AUSTIN,29,25,0,610235
Theophilus Schmid Elementary School,ES,9755 S Greenwood Ave ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610178.pdf,No,Average,46.0,NDA,NDA,Weak,31.0,Average,53.0,NDA,NDA,NDA,NDA,Weak,41,Average,52,92.1%,67.1,96.3%,100.0%,62.8,45.2,35.8,22.6,51.9,58.5,47.1,43.1,56.3,54.2,13.3,20,17.1,6.7,-0.4,-0.7,Yellow,Yellow,43.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,185,48,NDA,50,PULLMAN,8,5,0,610178
Frazier Prospective IB Magnet Elementary School,ES,4027 W Grenshaw St ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610503.pdf,No,Strong,60.0,Average,55,Very Strong,84.0,Strong,72.0,Average,42,Average,55,Strong,66,Strong,65,96.8%,7.2,96.6%,100.0%,81.3,68.8,71.6,48.6,64.9,71.6,76.2,61.9,87.3,82.5,5,30,37.6,25.4,1.6,1.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,220,36,NDA,29,NORTH LAWNDALE,24,11,0,610503
Douglas Taylor Elementary School,ES,9912 S Avenue H ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610198.pdf,No,Weak,34.0,NDA,NDA,Weak,20.0,Very Weak,1.0,NDA,NDA,NDA,NDA,Weak,42,Weak,45,95.1%,16.6,94.3%,100.0%,48.9,34.4,28.5,22.3,44.4,44.9,39.7,33.5,56.6,48.9,15.7,18.6,12.4,9.9,-0.5,-0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,632,47,NDA,52,EAST SIDE,10,4,0,610198
Mark Skinner Elementary School,ES,1260 W Adams St ,60607,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610177.pdf,No,Very Strong,87.0,NDA,NDA,Average,48.0,Average,53.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,97.1%,0.0,94.9%,96.7%,NDA,NDA,92.5,96.8,61.5,59.1,89.4,97.8,56.5,56.8,81.6,91.8,77.2,73.0,1.0,0.6,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,784,38,NDA,28,NEAR WEST SIDE,27,12,0,610177
Leif Ericson Elementary Scholastic Academy,ES,3600 W 5th Ave ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609907.pdf,No,Weak,33.0,NDA,NDA,Average,49.0,Average,52.0,NDA,NDA,NDA,NDA,Weak,45,Weak,45,94.7%,20.8,95.1%,100.0%,76.1,70.9,41.3,22.4,43.1,58.5,43.8,25.4,60.9,40.9,10.4,20.8,13.3,7.7,2.0,1.0,Green,Green,51.1,4.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,518,34,NDA,27,EAST GARFIELD PARK,28,11,1,609907
Helge A Haugan Elementary School,ES,4540 N Hamlin Ave ,60625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609972.pdf,No,Average,43.0,Weak,39,Average,57.0,Average,49.0,Weak,33,Weak,30,Weak,46,Average,51,96.2%,23.4,94.6%,100.0%,68.9,37.2,31.5,24.3,53.4,58.5,32.5,29.3,48,32.9,NDA,NDA,15.2,10.2,-0.3,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1299,31,NDA,14,ALBANY PARK,39,17,0,609972
Carrie Jacobs Bond Elementary School,ES,7050 S May St ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610238.pdf,No,Average,54.0,Average,49,Strong,67.0,Strong,63.0,Weak,39,Weak,32,Average,53,Average,52,91.7%,18.8,94.3%,96.9%,NDA,56.5,34,16.1,41.7,48.3,41.3,23.8,65.8,52.8,7.7,11.5,7.9,5.6,-0.2,0.9,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,343,45,NDA,68,ENGLEWOOD,17,7,1,610238
Jesse Sherwood Elementary School,ES,245 W 57th St ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610173.pdf,No,Weak,38.0,NDA,NDA,Average,47.0,Average,58.0,NDA,NDA,NDA,NDA,Average,51,Strong,56,92.0%,3.9,95.5%,100.0%,50.9,41.5,17.6,17.1,51.5,47.5,55.2,40,79.6,65.2,NDA,NDA,25.7,12.9,3.6,3.2,Green,Green,43.1,71.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,355,42,NDA,68,ENGLEWOOD,20,7,1,610173
William E B Dubois Elementary School,ES,330 E 133rd St ,60827,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610364.pdf,No,Average,47.0,NDA,NDA,Weak,33.0,Average,42.0,NDA,NDA,NDA,NDA,Average,50,Weak,45,93.3%,48.5,94.4%,100.0%,73.2,64.8,17.9,11.8,37.5,44.4,23.2,20.9,64.5,55.7,0,12.5,7.9,5.0,0.4,0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,184,48,NDA,54,RIVERDALE,9,5,1,610364
Edison Park Elementary School,ES,6220 N Olcott Ave ,60631,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610523.pdf,No,Very Strong,95.0,NDA,NDA,Average,52.0,Average,49.0,NDA,NDA,NDA,NDA,Strong,56,Weak,46,96.1%,6.9,96.6%,98.6%,78.1,NDA,64.2,62.6,54.7,49.1,59.4,61.4,38.8,48.5,40,55,27.7,32.6,-0.6,-0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,431,30,NDA,10,NORWOOD PARK,41,16,0,610523
Frederick Funston Elementary School,ES,2010 N Central Park ,60647,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609930.pdf,No,Very Weak,16.0,NDA,NDA,Very Weak,14.0,Very Weak,16.0,NDA,NDA,NDA,NDA,Weak,40,Average,47,94.7%,16.8,95.4%,100.0%,65.1,40.2,18.2,17.4,32.6,48.3,26.1,26.8,46.4,41.8,18.2,31.8,12.2,5.8,-2.1,-1.1,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,619,34,NDA,22,LOGAN SQUARE,26,25,1,609930
Charles Sumner  Math & Science Community Acad Elementary School,ES,4320 W 5th Ave ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610194.pdf,No,Average,41.0,Weak,27,Average,44.0,Average,48.0,Weak,30,Weak,34,Average,48,Weak,46,93.9%,12.3,96.9%,100.0%,49,NDA,28.4,33.1,50,54.7,31.9,36.3,59.3,47.4,15.6,11.1,13.1,9.7,-1.0,0.1,Red,Yellow,48.9,23.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,430,36,NDA,26,WEST GARFIELD PARK,24,11,1,610194
Elizabeth H Sutherland Elementary School,ES,10015 S Leavitt St ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610195.pdf,No,Very Strong,86.0,NDA,NDA,Strong,64.0,Average,59.0,NDA,NDA,NDA,NDA,Average,50,Weak,40,95.6%,6.8,96.2%,96.0%,87.7,NDA,56.6,72.8,66.5,67.6,66.9,84.7,70.2,68.1,29.3,60.9,37.2,35.7,0.0,-0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,762,49,NDA,72,BEVERLY,19,22,0,610195
TEAM Englewood Community Academy High School,HS,6201 S Stewart Ave ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610506.pdf,No,Average,45.0,Average,48,Average,55.0,Average,53.0,Strong,74,Strong,68,Strong,58,Average,49,87.3%,8.2,96.5%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12,12.4,14.3,13.3,1.3,15.3,1,7.9,NDA,NDA,440,45,77.4,68,ENGLEWOOD,20,7,1,610506
Jean Baptiste Beaubien Elementary School,ES,5025 N Laramie Ave ,60630,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609796.pdf,No,Strong,63.0,NDA,NDA,Average,49.0,Average,47.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,95.7%,7.4,96.3%,98.4%,81.6,NDA,66.8,68.9,67.4,69.1,77,73.4,70.6,60.1,45.1,56.6,49.1,41.8,0.2,0.2,Yellow,Yellow,36.8,72.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1181,31,NDA,11,JEFFERSON PARK,45,16,0,609796
Genevieve Melody Elementary School,ES,412 S Keeler Ave ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610293.pdf,No,Strong,61.0,NDA,NDA,Strong,65.0,Strong,77.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,92.1%,26.0,96.0%,94.5%,56,NDA,11.1,19.2,43.3,37.1,26.9,29.6,55.8,76.9,6.3,12.5,4.2,6.3,-0.3,0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,315,36,NDA,26,WEST GARFIELD PARK,24,11,1,610293
William Howard Taft High School,HS,6530 W Bryn Mawr Ave ,60631,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609734.pdf,No,Strong,61.0,NDA,NDA,Weak,37.0,Weak,32.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,89.1%,9.8,96.1%,99.7%,NDA,NDA,NDA,NDA,NDA,NDA,91.8,93.6,41.3,59.8,71.9,88.4,80.2,50.6,-3.1,-1.8,Red,Red,74.4,60,14.8,15.7,15.9,16.4,1.6,17.9,2,32.3,67.4,62.2,2922,30,77.3,10,NORWOOD PARK,41,16,0,609734
Jonathan Y Scammon Elementary School,ES,4201 W Henderson St ,60641,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610159.pdf,No,Average,44.0,NDA,NDA,Weak,21.0,Weak,20.0,NDA,NDA,NDA,NDA,Average,48,Weak,44,95.9%,8.0,95.3%,100.0%,69.6,39.3,32.4,27.7,50.9,52.2,39.1,33,61.5,60.5,14.7,33.7,14.8,11.9,-0.6,0.2,Red,Yellow,19.4,100,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,937,29,NDA,16,IRVING PARK,30,17,0,610159
John Foster Dulles Elementary School,ES,6311 S Calumet Ave ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610263.pdf,No,Average,42.0,Weak,22,Average,53.0,Average,42.0,Weak,32,Weak,21,Average,51,Strong,55,94.1%,28.2,97.3%,100.0%,91.7,NDA,16.9,19.9,42.3,47.4,15.5,13.1,61.9,48.8,2.5,5.1,9.1,3.8,1.4,0.1,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,537,42,NDA,69,GREATER GRAND CROSSING,20,3,1,610263
Orozco Fine Arts & Sciences Elementary School,ES,1940 W 18th St ,60608,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610329.pdf,No,Average,55.0,NDA,NDA,Weak,34.0,Average,44.0,NDA,NDA,NDA,NDA,Average,50,Average,53,97.6%,1.4,96.4%,100.0%,92.9,78.6,82.8,67,73.9,77,50.1,45,51,52,18.8,33.8,30.2,17.4,-0.6,-0.1,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,636,39,NDA,31,LOWER WEST SIDE,25,12,0,610329
Myra Bradwell Communications Arts & Sciences Elementary School,ES,7736 S Burnham Ave ,60649,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609806.pdf,No,Weak,31.0,Weak,35,Average,41.0,Average,50.0,Average,52,Average,54,Average,49,Strong,54,92.1%,75.9,96.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1.4,10.8,6.3,4.3,1.2,-1.2,Green,Red,NDA,NDA,11.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,775,46,NDA,43,SOUTH SHORE,7,4,1,609806
Rueben Salazar Elementary Bilingual Center,ES,160 W Wendell St ,60610,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610250.pdf,No,Strong,64.0,NDA,NDA,Average,54.0,Average,53.0,NDA,NDA,NDA,NDA,Average,52,Average,47,95.1%,44.6,95.8%,100.0%,68.3,33.1,61.7,50.8,53.3,75.7,43.6,60.2,54.3,65.6,22.6,64.5,20.5,15.5,0.9,0.3,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,444,33,NDA,8,NEAR NORTH SIDE,43,18,0,610250
Kelvyn Park High School,HS,4343 W Wrightwood Ave ,60639,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609716.pdf,No,Weak,32.0,Weak,28,Weak,32.0,Weak,28.0,Very Weak,19,Average,43,NDA,NDA,NDA,NDA,74.4%,12.9,94.5%,99.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,12.2,13.8,13.8,1,14.9,1.1,16.7,54.1,35,1252,29,56.9,20,HERMOSA,31,25,1,609716
Roswell B Mason Elementary School,ES,4217 W 18th St ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610056.pdf,No,Weak,37.0,Average,47,Average,44.0,Average,58.0,Average,50,Weak,36,Average,51,Strong,54,92.4%,31.0,95.0%,94.5%,48.4,NDA,8.1,20.3,34.2,31.2,12.9,28.4,24.3,39.8,5.7,26.9,4.2,5.8,-2.1,-0.8,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,479,36,NDA,29,NORTH LAWNDALE,24,10,1,610056
Irene C. Hernandez Middle School for the Advancement of Science,MS,3510 W 55th St ,60632,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610532.pdf,No,Weak,34.0,Weak,34,Weak,27.0,Weak,27.0,Weak,28,Weak,27,NDA,NDA,NDA,NDA,95.5%,14.8,96.2%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,33.7,28.9,34.2,46.6,12.5,18,11.6,9.2,-1.8,-0.8,Red,Red,18.2,40.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,970,45,NDA,63,GAGE PARK,14,8,0,610532
Joseph Kellman Corporate Community Elementary School,ES,751 S Sacramento Blvd ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609925.pdf,No,Average,58.0,Strong,68,Average,42.0,Average,45.0,Weak,37,Average,50,Strong,59,Strong,57,95.2%,4.4,95.8%,100.0%,84.7,55.3,37,32.3,48.9,56,34.5,43.2,56.5,55.2,0,11.5,13.3,10.5,-0.3,-0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,293,37,NDA,27,EAST GARFIELD PARK,2,11,0,609925
